"filename", "language", "Properties", "Java", "XML", "JavaScript", "CSS", "HTML", "Log", "comment", "blank", "total"
"e:\workspace\problem-solving-skills\build.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 68, 1, 74
"e:\workspace\problem-solving-skills\nbproject\build-impl.xml", "XML", 0, 0, 1291, 0, 0, 0, 0, 129, 1, 1421
"e:\workspace\problem-solving-skills\nbproject\genfiles.properties", "Properties", 6, 0, 0, 0, 0, 0, 0, 2, 1, 9
"e:\workspace\problem-solving-skills\nbproject\project.properties", "Properties", 64, 0, 0, 0, 0, 0, 0, 10, 1, 75
"e:\workspace\problem-solving-skills\nbproject\project.xml", "XML", 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"e:\workspace\problem-solving-skills\src\LetterRange_1276.java", "Java", 0, 55, 0, 0, 0, 0, 0, 11, 9, 75
"e:\workspace\problem-solving-skills\src\amazon\geeksforgeeks\BinaryTreeMaximumWidth.java", "Java", 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
"e:\workspace\problem-solving-skills\src\amazon\geeksforgeeks\VerticalSumBinaryTree.java", "Java", 0, 20, 0, 0, 0, 0, 0, 1, 5, 26
"e:\workspace\problem-solving-skills\src\amazon\interview\Question1.java", "Java", 0, 46, 0, 0, 0, 0, 0, 2, 9, 57
"e:\workspace\problem-solving-skills\src\amazon\interview\Question2.java", "Java", 0, 24, 0, 0, 0, 0, 0, 5, 4, 33
"e:\workspace\problem-solving-skills\src\amazon\interview\Question3.java", "Java", 0, 93, 0, 0, 0, 0, 0, 2, 13, 108
"e:\workspace\problem-solving-skills\src\amazon\interview\Question4.java", "Java", 0, 68, 0, 0, 0, 0, 0, 2, 13, 83
"e:\workspace\problem-solving-skills\src\amazon\interview\Question5.java", "Java", 0, 62, 0, 0, 0, 0, 0, 9, 13, 84
"e:\workspace\problem-solving-skills\src\codepit\io\cafecomleite\GoogleIsFeelingLucky.java", "Java", 0, 43, 0, 0, 0, 0, 0, 10, 8, 61
"e:\workspace\problem-solving-skills\src\codingbat\com\Array1.java", "Java", 0, 10, 0, 0, 0, 0, 0, 12, 3, 25
"e:\workspace\problem-solving-skills\src\codingbat\com\Array2.java", "Java", 0, 3, 0, 0, 0, 0, 0, 9, 3, 15
"e:\workspace\problem-solving-skills\src\codingbat\com\Array3.java", "Java", 0, 18, 0, 0, 0, 0, 0, 9, 6, 33
"e:\workspace\problem-solving-skills\src\codingbat\com\Map2.java", "Java", 0, 35, 0, 0, 0, 0, 0, 11, 10, 56
"e:\workspace\problem-solving-skills\src\codingbat\com\String3.java", "Java", 0, 55, 0, 0, 0, 0, 0, 12, 8, 75
"e:\workspace\problem-solving-skills\src\codingbat\com\StringSplosion.java", "Java", 0, 15, 0, 0, 0, 0, 0, 9, 3, 27
"e:\workspace\problem-solving-skills\src\codingbat\com\Warmups.java", "Java", 0, 186, 0, 0, 0, 0, 0, 15, 27, 228
"e:\workspace\problem-solving-skills\src\hackerrank\arrays\Array2dDs.java", "Java", 0, 33, 0, 0, 0, 0, 0, 9, 12, 54
"e:\workspace\problem-solving-skills\src\hackerrank\arrays\DynamicArray.java", "Java", 0, 60, 0, 0, 0, 0, 0, 10, 12, 82
"e:\workspace\problem-solving-skills\src\hackerrank\arrays\LeftRotation.java", "Java", 0, 44, 0, 0, 0, 0, 0, 9, 8, 61
"e:\workspace\problem-solving-skills\src\hackerrank\arrays\SparseArrays.java", "Java", 0, 53, 0, 0, 0, 0, 0, 9, 10, 72
"e:\workspace\problem-solving-skills\src\hackerrank\bitmanipulatio\CounterGame.java", "Java", 0, 30, 0, 0, 0, 0, 0, 10, 8, 48
"e:\workspace\problem-solving-skills\src\hackerrank\bitmanipulatio\FlippingBits.java", "Java", 0, 19, 0, 0, 0, 0, 0, 9, 7, 35
"e:\workspace\problem-solving-skills\src\hackerrank\bitmanipulatio\LonelyInteger.java", "Java", 0, 24, 0, 0, 0, 0, 0, 9, 9, 42
"e:\workspace\problem-solving-skills\src\hackerrank\bitmanipulatio\MaximizingXOR.java", "Java", 0, 26, 0, 0, 0, 0, 0, 9, 7, 42
"e:\workspace\problem-solving-skills\src\hackerrank\bitmanipulatio\SansaAndXOR.java", "Java", 0, 33, 0, 0, 0, 0, 0, 10, 10, 53
"e:\workspace\problem-solving-skills\src\hackerrank\bitmanipulatio\SumVsXor.java", "Java", 0, 21, 0, 0, 0, 0, 0, 9, 6, 36
"e:\workspace\problem-solving-skills\src\hackerrank\constructivealgorithms\FlippingTheMatrix.java", "Java", 0, 106, 0, 0, 0, 0, 0, 10, 19, 135
"e:\workspace\problem-solving-skills\src\hackerrank\graphtheory\BreathFirstSearchShortest.java", "Java", 0, 109, 0, 0, 0, 0, 0, 10, 17, 136
"e:\workspace\problem-solving-skills\src\hackerrank\greedy\MarcsCakewalk.java", "Java", 0, 37, 0, 0, 0, 0, 0, 9, 8, 54
"e:\workspace\problem-solving-skills\src\hackerrank\greedy\MinimumAbsoluteDifferenceInAnArray.java", "Java", 0, 74, 0, 0, 0, 0, 0, 16, 14, 104
"e:\workspace\problem-solving-skills\src\hackerrank\hack45\MiniMaxSum.java", "Java", 0, 39, 0, 0, 0, 0, 0, 9, 14, 62
"e:\workspace\problem-solving-skills\src\hackerrank\hack45\SequenceEquation.java", "Java", 0, 25, 0, 0, 0, 0, 0, 9, 7, 41
"e:\workspace\problem-solving-skills\src\hackerrank\implentation\DesignerPDFViewer.java", "Java", 0, 19, 0, 0, 0, 0, 0, 9, 6, 34
"e:\workspace\problem-solving-skills\src\hackerrank\search\HackerLandRadioTransmitters.java", "Java", 0, 51, 0, 0, 0, 0, 0, 10, 10, 71
"e:\workspace\problem-solving-skills\src\hackerrank\search\IceCreamParlor.java", "Java", 0, 56, 0, 0, 0, 0, 0, 10, 11, 77
"e:\workspace\problem-solving-skills\src\hackerrank\search\MissingNumbers.java", "Java", 0, 41, 0, 0, 0, 0, 0, 10, 12, 63
"e:\workspace\problem-solving-skills\src\hackerrank\search\SherlockAndArray.java", "Java", 0, 53, 0, 0, 0, 0, 0, 10, 9, 72
"e:\workspace\problem-solving-skills\src\hackerrank\sorting\ClosestNumbers.java", "Java", 0, 85, 0, 0, 0, 0, 0, 9, 19, 113
"e:\workspace\problem-solving-skills\src\hackerrank\sorting\CounitingSort1.java", "Java", 0, 25, 0, 0, 0, 0, 0, 10, 6, 41
"e:\workspace\problem-solving-skills\src\hackerrank\sorting\CountingSort2.java", "Java", 0, 29, 0, 0, 0, 0, 0, 10, 10, 49
"e:\workspace\problem-solving-skills\src\hackerrank\sorting\CountingSort3.java", "Java", 0, 27, 0, 0, 0, 0, 0, 10, 13, 50
"e:\workspace\problem-solving-skills\src\hackerrank\sorting\FindTheMedian.java", "Java", 0, 37, 0, 0, 0, 0, 0, 9, 12, 58
"e:\workspace\problem-solving-skills\src\hackerrank\sorting\InsertionSortPart1e2.java", "Java", 0, 38, 0, 0, 0, 0, 0, 9, 7, 54
"e:\workspace\problem-solving-skills\src\hackerrank\sorting\QuickInPlace.java", "Java", 0, 53, 0, 0, 0, 0, 0, 9, 14, 76
"e:\workspace\problem-solving-skills\src\hackerrank\sorting\QuickSort1Partition.java", "Java", 0, 31, 0, 0, 0, 0, 0, 9, 7, 47
"e:\workspace\problem-solving-skills\src\hackerrank\sorting\QuickSort2Sorting.java", "Java", 0, 46, 0, 0, 0, 0, 0, 9, 11, 66
"e:\workspace\problem-solving-skills\src\hackerrank\sorting\RunningTimeOfAlgorithms.java", "Java", 0, 32, 0, 0, 0, 0, 0, 10, 6, 48
"e:\workspace\problem-solving-skills\src\hackerrank\sorting\RunningTimeOfQuicksort.java", "Java", 0, 77, 0, 0, 0, 0, 0, 10, 18, 105
"e:\workspace\problem-solving-skills\src\hackerrank\sorting\TheFullCoutingSort.java", "Java", 0, 56, 0, 0, 0, 0, 0, 11, 13, 80
"e:\workspace\problem-solving-skills\src\hackerrank\string\AlternatingCharacters.java", "Java", 0, 31, 0, 0, 0, 0, 0, 9, 6, 46
"e:\workspace\problem-solving-skills\src\hackerrank\string\Anagram.java", "Java", 0, 38, 0, 0, 0, 0, 0, 9, 6, 53
"e:\workspace\problem-solving-skills\src\hackerrank\string\BearAndSteadyGene.java", "Java", 0, 71, 0, 0, 0, 0, 0, 9, 13, 93
"e:\workspace\problem-solving-skills\src\hackerrank\string\BeautifulBinaryString.java", "Java", 0, 19, 0, 0, 0, 0, 0, 9, 6, 34
"e:\workspace\problem-solving-skills\src\hackerrank\string\CaesarCipher.java", "Java", 0, 27, 0, 0, 0, 0, 0, 9, 5, 41
"e:\workspace\problem-solving-skills\src\hackerrank\string\CamelCase.java", "Java", 0, 15, 0, 0, 0, 0, 0, 9, 6, 30
"e:\workspace\problem-solving-skills\src\hackerrank\string\CommonChild.java", "Java", 0, 89, 0, 0, 0, 0, 0, 11, 16, 116
"e:\workspace\problem-solving-skills\src\hackerrank\string\FunnyString.java", "Java", 0, 27, 0, 0, 0, 0, 0, 9, 9, 45
"e:\workspace\problem-solving-skills\src\hackerrank\string\GameOfThronesI.java", "Java", 0, 24, 0, 0, 0, 0, 0, 9, 5, 38
"e:\workspace\problem-solving-skills\src\hackerrank\string\Gemstones.java", "Java", 0, 38, 0, 0, 0, 0, 0, 9, 9, 56
"e:\workspace\problem-solving-skills\src\hackerrank\string\HackerRankIsAString.java", "Java", 0, 29, 0, 0, 0, 0, 0, 9, 6, 44
"e:\workspace\problem-solving-skills\src\hackerrank\string\MakingAnagrams.java", "Java", 0, 22, 0, 0, 0, 0, 0, 9, 6, 37
"e:\workspace\problem-solving-skills\src\hackerrank\string\MarsExploration.java", "Java", 0, 21, 0, 0, 0, 0, 0, 9, 6, 36
"e:\workspace\problem-solving-skills\src\hackerrank\string\PalindromeIndex.java", "Java", 0, 48, 0, 0, 0, 0, 0, 9, 7, 64
"e:\workspace\problem-solving-skills\src\hackerrank\string\Pangrams.java", "Java", 0, 31, 0, 0, 0, 0, 0, 9, 13, 53
"e:\workspace\problem-solving-skills\src\hackerrank\string\RichieRich.java", "Java", 0, 70, 0, 0, 0, 0, 0, 9, 16, 95
"e:\workspace\problem-solving-skills\src\hackerrank\string\SepareteTheNumber.java", "Java", 0, 61, 0, 0, 0, 0, 0, 9, 12, 82
"e:\workspace\problem-solving-skills\src\hackerrank\string\SherlockAndAnagrams.java", "Java", 0, 76, 0, 0, 0, 0, 0, 9, 17, 102
"e:\workspace\problem-solving-skills\src\hackerrank\string\SherlockAndValidString.java", "Java", 0, 37, 0, 0, 0, 0, 0, 9, 7, 53
"e:\workspace\problem-solving-skills\src\hackerrank\string\StringConstruction.java", "Java", 0, 36, 0, 0, 0, 0, 0, 9, 9, 54
"e:\workspace\problem-solving-skills\src\hackerrank\string\SuperReducedString.java", "Java", 0, 38, 0, 0, 0, 0, 0, 13, 12, 63
"e:\workspace\problem-solving-skills\src\hackerrank\string\TheLoveLetterMystery.java", "Java", 0, 34, 0, 0, 0, 0, 0, 9, 8, 51
"e:\workspace\problem-solving-skills\src\hackerrank\string\TwoCharacters.java", "Java", 0, 79, 0, 0, 0, 0, 0, 9, 11, 99
"e:\workspace\problem-solving-skills\src\hackerrank\string\TwoStrings.java", "Java", 0, 30, 0, 0, 0, 0, 0, 12, 6, 48
"e:\workspace\problem-solving-skills\src\hackerrank\string\WeightedUniformStrings.java", "Java", 0, 61, 0, 0, 0, 0, 0, 11, 11, 83
"e:\workspace\problem-solving-skills\src\hackerrank\worldcodespring9\GradingStudents.java", "Java", 0, 26, 0, 0, 0, 0, 0, 9, 8, 43
"e:\workspace\problem-solving-skills\src\hackerrank\worldcodespring9\WeightedUniformStrings.java", "Java", 0, 62, 0, 0, 0, 0, 0, 11, 11, 84
"e:\workspace\problem-solving-skills\src\hankerrank\VanHackEventPage\debug.log", "Log", 0, 0, 0, 0, 0, 0, 51, 0, 1, 52
"e:\workspace\problem-solving-skills\src\hankerrank\VanHackEventPage\index.html", "HTML", 0, 0, 0, 0, 0, 114, 0, 0, 3, 117
"e:\workspace\problem-solving-skills\src\hankerrank\VanHackEventPage\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\workspace\problem-solving-skills\src\hankerrank\VanHackEventPage\style.css", "CSS", 0, 0, 0, 0, 233, 0, 0, 0, 38, 271
"e:\workspace\problem-solving-skills\src\hankerrank\dynamicprograming\FibonacciModified.java", "Java", 0, 25, 0, 0, 0, 0, 0, 9, 5, 39
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\AddBinary.java", "Java", 0, 86, 0, 0, 0, 0, 0, 16, 7, 109
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\AddDigits.java", "Java", 0, 18, 0, 0, 0, 0, 0, 13, 4, 35
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\AddStrings.java", "Java", 0, 54, 0, 0, 0, 0, 0, 11, 17, 82
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\AddTwoNumbers.java", "Java", 0, 90, 0, 0, 0, 0, 0, 9, 17, 116
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\AllPathsFromSourceToTarget.java", "Java", 0, 68, 0, 0, 0, 0, 0, 0, 9, 77
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\ArithmeticSlices.java", "Java", 0, 15, 0, 0, 0, 0, 0, 9, 3, 27
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\ArrayNesting.java", "Java", 0, 20, 0, 0, 0, 0, 0, 9, 6, 35
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\ArrayPartitionI.java", "Java", 0, 18, 0, 0, 0, 0, 0, 9, 4, 31
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\AverageOfLevelsInBinaryTree.java", "Java", 0, 40, 0, 0, 0, 0, 0, 9, 11, 60
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\BackspaceStringCompare.java", "Java", 0, 43, 0, 0, 0, 0, 0, 12, 7, 62
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\BalancedBinaryTree.java", "Java", 0, 65, 0, 0, 0, 0, 0, 22, 15, 102
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\BeautifulArrangement.java", "Java", 0, 30, 0, 0, 0, 0, 0, 9, 6, 45
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\BesTimeToBuyAndSellStockWithTransactionFee.java", "Java", 0, 18, 0, 0, 0, 0, 0, 10, 6, 34
